P1	5640225.74	7427398.75
P2	5640123.06	7427336.19
P3	5640120.40	7427338.24
P4	5640117.12	7427339.48
P5	5640112.71	7427343.78
P6	5640109.34	7427346.56
P7	5640105.43	7427345.13
P8	5640102.27	7427347.59
P9	5640094.27	7427365.83
P10	5640135.22	7427352.78
P11	5640133.06	7427357.40
P12	5640129.96	7427361.81
P13	5640126.00	7427363.62
P14	5640178.09	7427392.51
P15	5640175.45	7427395.42
P16	5640172.79	7427390.78
P17	5640172.75	7427398.53
P18	5640168.11	7427397.82
P19	5640168.99	7427406.80
P20	5640164.50	7427410.41
P21	5640161.55	7427413.89
P22	5640157.37	7427410.53
P23	5640159.82	7427417.20
P24	5640157.68	7427419.50
P25	5640155.49	7427421.24
P26	5640152.89	7427421.70
P27	5640210.30	7427391.37
P28	5640231.98	7427440.39
P29	5640229.17	7427442.70
P30	5640225.62	7427442.81
P31	5640223.22	7427450.85
P32	5640215.14	7427459.65
P33	5640212.86	7427461.15
P34	5640210.76	7427464.24
P35	5640208.54	7427466.89
P36	5640206.01	7427467.58
P37	5640093.22	7427353.35
P38	5640089.95	7427356.58
P39	5640095.28	7427333.75
P40	5640093.98	7427339.43
P41	5640091.49	7427344.94
P42	5640088.34	7427340.91
P43	5640108.28	7427320.51
P44	5640101.94	7427315.24
P45	5640104.79	7427313.75
P46	5640099.09	7427323.18
P47	5640097.05	7427324.90
P48	5640089.53	7427317.20
P49	5640092.52	7427322.15
P50	5640078.48	7427331.17
P51	5640071.88	7427331.43
P52	5640072.43	7427330.41
P53	5640075.61	7427319.49
P54	5640074.71	7427355.37
P55	5640082.97	7427351.15
P56	5640083.62	7427358.57
P57	5640018.51	7427243.01
P58	5640020.80	7427254.56
P59	5640036.54	7427262.90
P60	5640030.57	7427264.99
P61	5640029.71	7427272.85
P62	5640030.31	7427280.80
P63	5640027.71	7427282.59
P64	5640012.10	7427258.40
P65	5640017.69	7427263.92
P66	5640019.75	7427270.30
P67	5640025.13	7427281.43
P68	5640023.61	7427290.70
P69	5640019.46	7427287.30
P70	5640021.95	7427278.93
P71	5640015.33	7427305.04
P72	5640034.66	7427297.62
P73	5640038.21	7427292.25
P74	5639974.20	7427231.77
P75	5639971.42	7427234.65
P76	5639968.88	7427237.00
P77	5639966.96	7427240.20
P78	5639964.61	7427244.36
P79	5639963.02	7427252.67
P80	5639960.16	7427256.20
